v_net_count,success_count,inservice_count,total_revenue,total_cost,total_r2c,total_time_revenue,total_time_cost,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,violation,current_violation,total_place_violation,total_route_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_placed_nodes,num_routed_links
1,1,1,639,1202,0.5316139767054908,167904.6489496449,315839.417899019,8,0,1,18.0,21454,5900,15554,0.04049438933159866,0.057733082934512625,0,262.761578950931,18.0,8,14,True,"{0: 57, 1: 94, 2: 98, 3: 69, 4: 27, 5: 78, 6: 77, 7: 97}","{(0, 1): [(57, 33), (33, 77), (77, 94)], (0, 3): [(57, 45), (45, 97), (97, 69)], (0, 4): [(57, 33), (33, 27)], (1, 5): [(94, 78)], (1, 6): [(94, 47), (47, 77)], (1, 7): [(94, 39), (39, 2), (2, 76), (76, 97)], (2, 3): [(98, 59), (59, 69)], (2, 4): [(98, 14), (14, 33), (33, 27)], (2, 7): [(98, 51), (51, 97)], (3, 5): [(69, 47), (47, 78)], (3, 7): [(69, 20), (20, 82), (82, 25), (25, 97)], (4, 5): [(27, 47), (47, 78)], (4, 6): [(27, 33), (33, 77)], (5, 6): [(78, 77)]}","{(0, 57): {'cpu': 16}, (1, 94): {'cpu': 29}, (2, 98): {'cpu': 21}, (3, 69): {'cpu': 30}, (4, 27): {'cpu': 50}, (5, 78): {'cpu': 18}, (6, 77): {'cpu': 45}, (7, 97): {'cpu': 40}}","{((0, 1), (57, 33)): {'bw': 27}, ((0, 1), (33, 77)): {'bw': 27}, ((0, 1), (77, 94)): {'bw': 27}, ((0, 3), (57, 45)): {'bw': 47}, ((0, 3), (45, 97)): {'bw': 47}, ((0, 3), (97, 69)): {'bw': 47}, ((0, 4), (57, 33)): {'bw': 10}, ((0, 4), (33, 27)): {'bw': 10}, ((1, 5), (94, 78)): {'bw': 9}, ((1, 6), (94, 47)): {'bw': 47}, ((1, 6), (47, 77)): {'bw': 47}, ((1, 7), (94, 39)): {'bw': 29}, ((1, 7), (39, 2)): {'bw': 29}, ((1, 7), (2, 76)): {'bw': 29}, ((1, 7), (76, 97)): {'bw': 29}, ((2, 3), (98, 59)): {'bw': 22}, ((2, 3), (59, 69)): {'bw': 22}, ((2, 4), (98, 14)): {'bw': 17}, ((2, 4), (14, 33)): {'bw': 17}, ((2, 4), (33, 27)): {'bw': 17}, ((2, 7), (98, 51)): {'bw': 47}, ((2, 7), (51, 97)): {'bw': 47}, ((3, 5), (69, 47)): {'bw': 18}, ((3, 5), (47, 78)): {'bw': 18}, ((3, 7), (69, 20)): {'bw': 32}, ((3, 7), (20, 82)): {'bw': 32}, ((3, 7), (82, 25)): {'bw': 32}, ((3, 7), (25, 97)): {'bw': 32}, ((4, 5), (27, 47)): {'bw': 22}, ((4, 5), (47, 78)): {'bw': 22}, ((4, 6), (27, 33)): {'bw': 32}, ((4, 6), (33, 77)): {'bw': 32}, ((5, 6), (78, 77)): {'bw': 31}}",1202,639,498,249,390,249,390,249,953,563,0.5316139767054908,315839.417899019,167904.6489496449,139.6877279115182,Success,0,0,0,0,True,True,False,0,[],8.0,14.0
2,2,2,964,1610,0.5987577639751552,530089.4338686968,770520.6248127825,13,1,1,30.0,21046,5747,15299,0.06537648398113516,0.07318107469558366,1,1114.4147228278518,30.0,5,6,True,"{0: 93, 1: 33, 2: 88, 3: 47, 4: 28}","{(0, 1): [(93, 8), (8, 33)], (0, 3): [(93, 3), (3, 47)], (0, 4): [(93, 28)], (1, 2): [(33, 88)], (2, 3): [(88, 47)], (3, 4): [(47, 3), (3, 93), (93, 28)]}","{(0, 93): {'cpu': 36}, (1, 33): {'cpu': 13}, (2, 88): {'cpu': 44}, (3, 47): {'cpu': 36}, (4, 28): {'cpu': 24}}","{((0, 1), (93, 8)): {'bw': 32}, ((0, 1), (8, 33)): {'bw': 32}, ((0, 3), (93, 3)): {'bw': 37}, ((0, 3), (3, 47)): {'bw': 37}, ((0, 4), (93, 28)): {'bw': 8}, ((1, 2), (33, 88)): {'bw': 50}, ((2, 3), (88, 47)): {'bw': 38}, ((3, 4), (47, 3)): {'bw': 7}, ((3, 4), (3, 93)): {'bw': 7}, ((3, 4), (93, 28)): {'bw': 7}}",408,325,306,153,172,153,172,153,255,83,0.7965686274509803,454681.20691376354,362184.78491905186,887.7078061741466,Success,0,0,0,0,True,True,False,0,[],5.0,6.0
3,3,3,1803,3579,0.5037720033528919,546791.7267728017,809718.258577005,21,2,1,40.0,19077,5504,13573,0.1048951048951049,0.1777427757920882,2,19.907381292139405,40.0,9,21,True,"{0: 92, 1: 85, 2: 33, 3: 75, 4: 32, 5: 80, 6: 63, 7: 58, 8: 21}","{(0, 3): [(92, 21), (21, 75)], (0, 5): [(92, 93), (93, 80)], (0, 6): [(92, 13), (13, 63)], (0, 7): [(92, 58)], (1, 2): [(85, 43), (43, 33)], (1, 3): [(85, 28), (28, 54), (54, 75)], (1, 4): [(85, 28), (28, 93), (93, 32)], (1, 6): [(85, 62), (62, 58), (58, 63)], (2, 3): [(33, 14), (14, 75)], (2, 4): [(33, 8), (8, 93), (93, 32)], (2, 6): [(33, 41), (41, 63)], (2, 7): [(33, 2), (2, 61), (61, 58)], (3, 5): [(75, 32), (32, 80)], (3, 8): [(75, 21)], (4, 5): [(32, 80)], (4, 6): [(32, 88), (88, 25), (25, 63)], (4, 7): [(32, 88), (88, 47), (47, 58)], (4, 8): [(32, 89), (89, 60), (60, 37), (37, 91), (91, 78), (78, 21)], (6, 7): [(63, 87), (87, 65), (65, 58)], (6, 8): [(63, 13), (13, 92), (92, 21)], (7, 8): [(58, 13), (13, 96), (96, 57), (57, 92), (92, 98), (98, 21)]}","{(0, 92): {'cpu': 30}, (1, 85): {'cpu': 12}, (2, 33): {'cpu': 10}, (3, 75): {'cpu': 20}, (4, 32): {'cpu': 28}, (5, 80): {'cpu': 43}, (6, 63): {'cpu': 34}, (7, 58): {'cpu': 49}, (8, 21): {'cpu': 17}}","{((0, 3), (92, 21)): {'bw': 9}, ((0, 3), (21, 75)): {'bw': 9}, ((0, 5), (92, 93)): {'bw': 29}, ((0, 5), (93, 80)): {'bw': 29}, ((0, 6), (92, 13)): {'bw': 24}, ((0, 6), (13, 63)): {'bw': 24}, ((0, 7), (92, 58)): {'bw': 22}, ((1, 2), (85, 43)): {'bw': 22}, ((1, 2), (43, 33)): {'bw': 22}, ((1, 3), (85, 28)): {'bw': 6}, ((1, 3), (28, 54)): {'bw': 6}, ((1, 3), (54, 75)): {'bw': 6}, ((1, 4), (85, 28)): {'bw': 14}, ((1, 4), (28, 93)): {'bw': 14}, ((1, 4), (93, 32)): {'bw': 14}, ((1, 6), (85, 62)): {'bw': 49}, ((1, 6), (62, 58)): {'bw': 49}, ((1, 6), (58, 63)): {'bw': 49}, ((2, 3), (33, 14)): {'bw': 16}, ((2, 3), (14, 75)): {'bw': 16}, ((2, 4), (33, 8)): {'bw': 17}, ((2, 4), (8, 93)): {'bw': 17}, ((2, 4), (93, 32)): {'bw': 17}, ((2, 6), (33, 41)): {'bw': 15}, ((2, 6), (41, 63)): {'bw': 15}, ((2, 7), (33, 2)): {'bw': 23}, ((2, 7), (2, 61)): {'bw': 23}, ((2, 7), (61, 58)): {'bw': 23}, ((3, 5), (75, 32)): {'bw': 39}, ((3, 5), (32, 80)): {'bw': 39}, ((3, 8), (75, 21)): {'bw': 43}, ((4, 5), (32, 80)): {'bw': 30}, ((4, 6), (32, 88)): {'bw': 50}, ((4, 6), (88, 25)): {'bw': 50}, ((4, 6), (25, 63)): {'bw': 50}, ((4, 7), (32, 88)): {'bw': 18}, ((4, 7), (88, 47)): {'bw': 18}, ((4, 7), (47, 58)): {'bw': 18}, ((4, 8), (32, 89)): {'bw': 49}, ((4, 8), (89, 60)): {'bw': 49}, ((4, 8), (60, 37)): {'bw': 49}, ((4, 8), (37, 91)): {'bw': 49}, ((4, 8), (91, 78)): {'bw': 49}, ((4, 8), (78, 21)): {'bw': 49}, ((6, 7), (63, 87)): {'bw': 48}, ((6, 7), (87, 65)): {'bw': 48}, ((6, 7), (65, 58)): {'bw': 48}, ((6, 8), (63, 13)): {'bw': 28}, ((6, 8), (13, 92)): {'bw': 28}, ((6, 8), (92, 21)): {'bw': 28}, ((7, 8), (58, 13)): {'bw': 45}, ((7, 8), (13, 96)): {'bw': 45}, ((7, 8), (96, 57)): {'bw': 45}, ((7, 8), (57, 92)): {'bw': 45}, ((7, 8), (92, 98)): {'bw': 45}, ((7, 8), (98, 21)): {'bw': 45}}",1969,839,486,243,596,243,596,243,1726,1130,0.4261046216353479,39197.63376422249,16702.29290410496,8.482627173237665,Success,0,0,0,0,True,True,False,0,[],9.0,21.0
3,3,2,1803,3579,0.5037720033528919,546791.7267728017,809718.258577005,21,3,0,59.907381292139405,21046,5747,15299,0.06537648398113516,0.07318107469558366,2,19.907381292139405,40.0,9,21,False,{},{},{},{},0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Leave Event,0,0,0,0,True,True,False,0,[],,
4,4,3,2235,4467,0.5003357958361316,594284.1040885948,907341.4786150241,24,4,1,61.0,20158,5597,14561,0.08977069442185726,0.11788938026291873,3,109.93605860137282,61.0,6,9,True,"{0: 47, 1: 58, 2: 22, 3: 92, 4: 50, 5: 53}","{(0, 3): [(47, 58), (58, 92)], (0, 4): [(47, 20), (20, 38), (38, 50)], (0, 5): [(47, 88), (88, 53)], (1, 2): [(58, 92), (92, 22)], (1, 3): [(58, 13), (13, 92)], (1, 4): [(58, 13), (13, 92), (92, 50)], (2, 3): [(22, 25), (25, 79), (79, 92)], (2, 5): [(22, 51), (51, 82), (82, 53)], (3, 4): [(92, 98), (98, 77), (77, 50)]}","{(0, 47): {'cpu': 5}, (1, 58): {'cpu': 47}, (2, 22): {'cpu': 26}, (3, 92): {'cpu': 27}, (4, 50): {'cpu': 23}, (5, 53): {'cpu': 22}}","{((0, 3), (47, 58)): {'bw': 16}, ((0, 3), (58, 92)): {'bw': 16}, ((0, 4), (47, 20)): {'bw': 32}, ((0, 4), (20, 38)): {'bw': 32}, ((0, 4), (38, 50)): {'bw': 32}, ((0, 5), (47, 88)): {'bw': 32}, ((0, 5), (88, 53)): {'bw': 32}, ((1, 2), (58, 92)): {'bw': 37}, ((1, 2), (92, 22)): {'bw': 37}, ((1, 3), (58, 13)): {'bw': 23}, ((1, 3), (13, 92)): {'bw': 23}, ((1, 4), (58, 13)): {'bw': 32}, ((1, 4), (13, 92)): {'bw': 32}, ((1, 4), (92, 50)): {'bw': 32}, ((2, 3), (22, 25)): {'bw': 41}, ((2, 3), (25, 79)): {'bw': 41}, ((2, 3), (79, 92)): {'bw': 41}, ((2, 5), (22, 51)): {'bw': 30}, ((2, 5), (51, 82)): {'bw': 30}, ((2, 5), (82, 53)): {'bw': 30}, ((3, 4), (92, 98)): {'bw': 39}, ((3, 4), (98, 77)): {'bw': 39}, ((3, 4), (77, 50)): {'bw': 39}}",888,432,300,150,282,150,282,150,738,456,0.4864864864864865,97623.22003801906,47492.377315793055,53.48240688715435,Success,0,0,0,0,True,True,False,0,[],6.0,9.0
5,5,4,2962,6204,0.47743391360412635,1764040.5007329625,3702206.4868285954,31,5,1,78.0,18421,5344,13077,0.13091559603187508,0.20779063427636757,4,1609.0184272962415,78.0,8,14,True,"{0: 62, 1: 57, 2: 34, 3: 99, 4: 64, 5: 19, 6: 96, 7: 17}","{(0, 1): [(62, 85), (85, 57)], (0, 3): [(62, 99)], (0, 4): [(62, 85), (85, 99), (99, 64)], (0, 6): [(62, 13), (13, 96)], (0, 7): [(62, 59), (59, 68), (68, 34), (34, 35), (35, 17)], (1, 3): [(57, 85), (85, 99)], (1, 4): [(57, 88), (88, 25), (25, 9), (9, 64)], (1, 7): [(57, 74), (74, 17)], (2, 3): [(34, 25), (25, 45), (45, 64), (64, 99)], (2, 4): [(34, 93), (93, 3), (3, 73), (73, 64)], (3, 4): [(99, 19), (19, 64)], (3, 5): [(99, 9), (9, 64), (64, 19)], (5, 6): [(19, 43), (43, 85), (85, 57), (57, 96)], (6, 7): [(96, 74), (74, 73), (73, 0), (0, 17)]}","{(0, 62): {'cpu': 38}, (1, 57): {'cpu': 39}, (2, 34): {'cpu': 44}, (3, 99): {'cpu': 20}, (4, 64): {'cpu': 42}, (5, 19): {'cpu': 17}, (6, 96): {'cpu': 27}, (7, 17): {'cpu': 26}}","{((0, 1), (62, 85)): {'bw': 20}, ((0, 1), (85, 57)): {'bw': 20}, ((0, 3), (62, 99)): {'bw': 32}, ((0, 4), (62, 85)): {'bw': 39}, ((0, 4), (85, 99)): {'bw': 39}, ((0, 4), (99, 64)): {'bw': 39}, ((0, 6), (62, 13)): {'bw': 49}, ((0, 6), (13, 96)): {'bw': 49}, ((0, 7), (62, 59)): {'bw': 50}, ((0, 7), (59, 68)): {'bw': 50}, ((0, 7), (68, 34)): {'bw': 50}, ((0, 7), (34, 35)): {'bw': 50}, ((0, 7), (35, 17)): {'bw': 50}, ((1, 3), (57, 85)): {'bw': 12}, ((1, 3), (85, 99)): {'bw': 12}, ((1, 4), (57, 88)): {'bw': 48}, ((1, 4), (88, 25)): {'bw': 48}, ((1, 4), (25, 9)): {'bw': 48}, ((1, 4), (9, 64)): {'bw': 48}, ((1, 7), (57, 74)): {'bw': 26}, ((1, 7), (74, 17)): {'bw': 26}, ((2, 3), (34, 25)): {'bw': 25}, ((2, 3), (25, 45)): {'bw': 25}, ((2, 3), (45, 64)): {'bw': 25}, ((2, 3), (64, 99)): {'bw': 25}, ((2, 4), (34, 93)): {'bw': 30}, ((2, 4), (93, 3)): {'bw': 30}, ((2, 4), (3, 73)): {'bw': 30}, ((2, 4), (73, 64)): {'bw': 30}, ((3, 4), (99, 19)): {'bw': 44}, ((3, 4), (19, 64)): {'bw': 44}, ((3, 5), (99, 9)): {'bw': 25}, ((3, 5), (9, 64)): {'bw': 25}, ((3, 5), (64, 19)): {'bw': 25}, ((5, 6), (19, 43)): {'bw': 29}, ((5, 6), (43, 85)): {'bw': 29}, ((5, 6), (85, 57)): {'bw': 29}, ((5, 6), (57, 96)): {'bw': 29}, ((6, 7), (96, 74)): {'bw': 45}, ((6, 7), (74, 73)): {'bw': 45}, ((6, 7), (73, 0)): {'bw': 45}, ((6, 7), (0, 17)): {'bw': 45}}",1737,727,506,253,474,253,474,253,1484,1010,0.4185377086931491,2794865.0082135713,1169756.3966443676,673.4348858056233,Success,0,0,0,0,True,True,False,0,[],8.0,14.0
6,6,5,3152,6515,0.4838066001534919,1801409.2655288018,3763373.2544681006,33,6,1,96.0,18110,5275,12835,0.14213693283460727,0.22245108135942326,5,196.67770945178535,96.0,4,3,True,"{0: 85, 1: 28, 2: 54, 3: 66}","{(0, 1): [(85, 28)], (1, 2): [(28, 92), (92, 93), (93, 54)], (2, 3): [(54, 79), (79, 66)]}","{(0, 85): {'cpu': 5}, (1, 28): {'cpu': 10}, (2, 54): {'cpu': 27}, (3, 66): {'cpu': 27}}","{((0, 1), (85, 28)): {'bw': 47}, ((1, 2), (28, 92)): {'bw': 47}, ((1, 2), (92, 93)): {'bw': 47}, ((1, 2), (93, 54)): {'bw': 47}, ((2, 3), (54, 79)): {'bw': 27}, ((2, 3), (79, 66)): {'bw': 27}}",311,190,138,69,121,69,121,69,242,121,0.6109324758842444,61166.76763950524,37368.76479583922,120.15679998662128,Success,0,0,0,0,True,True,False,0,[],4.0,3.0
7,6,5,3152,6515,0.4838066001534919,1801409.2655288018,3763373.2544681006,33,7,1,111.0,18110,5275,12835,0.14213693283460727,0.22245108135942326,6,1057.6990889205767,111.0,8,11,False,"{0: 79, 1: 82, 2: 62, 3: 74, 4: 59, 5: 11, 6: 76, 7: 25}","{(0, 1): [(79, 66), (66, 25), (25, 82)], (0, 2): [(79, 85), (85, 65), (65, 58), (58, 62)], (0, 5): [(79, 85), (85, 87), (87, 63), (63, 11)], (0, 7): [(79, 70), (70, 93), (93, 80), (80, 25)], (1, 7): [(82, 16), (16, 4), (4, 59), (59, 91), (91, 63), (63, 25)], (2, 4): []}","{(0, 79): {'cpu': 36}, (1, 82): {'cpu': 34}, (2, 62): {'cpu': 17}, (3, 74): {'cpu': 47}, (4, 59): {'cpu': 22}, (5, 11): {'cpu': 27}, (6, 76): {'cpu': 19}, (7, 25): {'cpu': 37}}","{((0, 1), (79, 66)): {'bw': 25}, ((0, 1), (66, 25)): {'bw': 25}, ((0, 1), (25, 82)): {'bw': 25}, ((0, 2), (79, 85)): {'bw': 43}, ((0, 2), (85, 65)): {'bw': 43}, ((0, 2), (65, 58)): {'bw': 43}, ((0, 2), (58, 62)): {'bw': 43}, ((0, 5), (79, 85)): {'bw': 27}, ((0, 5), (85, 87)): {'bw': 27}, ((0, 5), (87, 63)): {'bw': 27}, ((0, 5), (63, 11)): {'bw': 27}, ((0, 7), (79, 70)): {'bw': 31}, ((0, 7), (70, 93)): {'bw': 31}, ((0, 7), (93, 80)): {'bw': 31}, ((0, 7), (80, 25)): {'bw': 31}, ((1, 7), (82, 16)): {'bw': 49}, ((1, 7), (16, 4)): {'bw': 49}, ((1, 7), (4, 59)): {'bw': 49}, ((1, 7), (59, 91)): {'bw': 49}, ((1, 7), (91, 63)): {'bw': 49}, ((1, 7), (63, 25)): {'bw': 49}}",0,0,478,239,374,0,0,0,0,0,0.0,0.0,0.0,0.0,Route Failure,0,0,0,0,True,False,False,0,[],8.0,6.0
8,6,5,3152,6515,0.4838066001534919,1801409.2655288018,3763373.2544681006,33,8,1,128.0,18110,5275,12835,0.14213693283460727,0.22245108135942326,7,272.04862220899525,128.0,9,20,False,"{0: 47, 1: 91, 2: 15, 3: 21, 4: 2, 5: 59, 6: 68, 7: 41, 8: 33}","{(0, 2): [(47, 11), (11, 15)], (0, 3): []}","{(0, 47): {'cpu': 24}, (1, 91): {'cpu': 31}, (2, 15): {'cpu': 10}, (3, 21): {'cpu': 31}, (4, 2): {'cpu': 13}, (5, 59): {'cpu': 49}, (6, 68): {'cpu': 35}, (7, 41): {'cpu': 25}, (8, 33): {'cpu': 30}}","{((0, 2), (47, 11)): {'bw': 44}, ((0, 2), (11, 15)): {'bw': 44}}",0,0,496,248,571,0,0,0,0,0,0.0,0.0,0.0,0.0,Route Failure,0,0,0,0,True,False,False,0,[],9.0,2.0
9,7,6,3519,7062,0.49830076465590484,1839848.8578177495,3820666.052784325,38,9,1,148.0,17563,5114,12449,0.16832005204098233,0.2458351002604956,8,104.74003348487132,148.0,6,7,True,"{0: 98, 1: 59, 2: 25, 3: 73, 4: 43, 5: 4}","{(0, 1): [(98, 59)], (0, 4): [(98, 14), (14, 33), (33, 43)], (0, 5): [(98, 29), (29, 4)], (1, 2): [(59, 91), (91, 63), (63, 25)], (1, 5): [(59, 4)], (2, 3): [(25, 9), (9, 64), (64, 73)], (2, 5): [(25, 4)]}","{(0, 98): {'cpu': 6}, (1, 59): {'cpu': 44}, (2, 25): {'cpu': 7}, (3, 73): {'cpu': 39}, (4, 43): {'cpu': 37}, (5, 4): {'cpu': 28}}","{((0, 1), (98, 59)): {'bw': 23}, ((0, 4), (98, 14)): {'bw': 22}, ((0, 4), (14, 33)): {'bw': 22}, ((0, 4), (33, 43)): {'bw': 22}, ((0, 5), (98, 29)): {'bw': 28}, ((0, 5), (29, 4)): {'bw': 28}, ((1, 2), (59, 91)): {'bw': 49}, ((1, 2), (91, 63)): {'bw': 49}, ((1, 2), (63, 25)): {'bw': 49}, ((1, 5), (59, 4)): {'bw': 39}, ((2, 3), (25, 9)): {'bw': 5}, ((2, 3), (9, 64)): {'bw': 5}, ((2, 3), (64, 73)): {'bw': 5}, ((2, 5), (25, 4)): {'bw': 40}}",547,367,322,161,206,161,206,161,386,180,0.6709323583180987,57292.79831622461,38439.59228894777,70.27347767632133,Success,0,0,0,0,True,True,False,0,[],6.0,7.0
10,8,7,3875,7918,0.4893912604192978,1939037.4056602246,4059164.358832524,40,10,1,168.0,16707,4922,11785,0.19954464140510653,0.2860604591991276,9,278.61951641144725,168.0,5,6,True,"{0: 28, 1: 5, 2: 99, 3: 74, 4: 85}","{(0, 1): [(28, 51), (51, 5)], (0, 2): [(28, 51), (51, 85), (85, 87), (87, 9), (9, 99)], (0, 3): [(28, 16), (16, 8), (8, 23), (23, 11), (11, 74)], (2, 3): [(99, 96), (96, 57), (57, 74)], (2, 4): [(99, 62), (62, 58), (58, 65), (65, 85)], (3, 4): [(74, 24), (24, 44), (44, 65), (65, 85)]}","{(0, 28): {'cpu': 29}, (1, 5): {'cpu': 49}, (2, 99): {'cpu': 47}, (3, 74): {'cpu': 38}, (4, 85): {'cpu': 29}}","{((0, 1), (28, 51)): {'bw': 20}, ((0, 1), (51, 5)): {'bw': 20}, ((0, 2), (28, 51)): {'bw': 38}, ((0, 2), (51, 85)): {'bw': 38}, ((0, 2), (85, 87)): {'bw': 38}, ((0, 2), (87, 9)): {'bw': 38}, ((0, 2), (9, 99)): {'bw': 38}, ((0, 3), (28, 16)): {'bw': 33}, ((0, 3), (16, 8)): {'bw': 33}, ((0, 3), (8, 23)): {'bw': 33}, ((0, 3), (23, 11)): {'bw': 33}, ((0, 3), (11, 74)): {'bw': 33}, ((2, 3), (99, 96)): {'bw': 23}, ((2, 3), (96, 57)): {'bw': 23}, ((2, 3), (57, 74)): {'bw': 23}, ((2, 4), (99, 62)): {'bw': 27}, ((2, 4), (62, 58)): {'bw': 27}, ((2, 4), (58, 65)): {'bw': 27}, ((2, 4), (65, 85)): {'bw': 27}, ((3, 4), (74, 24)): {'bw': 23}, ((3, 4), (24, 44)): {'bw': 23}, ((3, 4), (44, 65)): {'bw': 23}, ((3, 4), (65, 85)): {'bw': 23}}",856,356,384,192,164,192,164,192,664,500,0.4158878504672897,238498.30604819884,99188.54784247522,115.87447177859255,Success,0,0,0,0,True,True,False,0,[],5.0,6.0
10,8,6,3875,7918,0.4893912604192978,1939037.4056602246,4059164.358832524,40,11,0,170.93605860137282,17595,5072,12523,0.17515043096438443,0.24135215363179252,3,109.93605860137282,61.0,6,9,False,{},{},{},{},0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Leave Event,0,0,0,0,True,True,False,0,[],,
11,8,6,3875,7918,0.4893912604192978,1939037.4056602246,4059164.358832524,40,12,1,195.0,17595,5072,12523,0.17515043096438443,0.24135215363179252,10,1281.0948130970319,195.0,9,21,False,"{0: 15, 1: 47, 2: 51, 3: 22, 4: 11, 5: 33, 6: 14, 7: 0, 8: 79}","{(0, 1): [(15, 11), (11, 63), (63, 58), (58, 47)], (0, 2): [(15, 33), (33, 2), (2, 86), (86, 5), (5, 51)], (0, 4): [(15, 11)], (0, 5): [(15, 91), (91, 26), (26, 33)], (0, 7): [(15, 33), (33, 4), (4, 29), (29, 14), (14, 0)], (1, 2): [(47, 20), (20, 38), (38, 4), (4, 16), (16, 82), (82, 51)], (1, 3): [(47, 3), (3, 22)], (1, 4): [(47, 11)], (1, 5): [(47, 27), (27, 33)], (1, 6): [(47, 88), (88, 14)], (1, 7): [(47, 69), (69, 6), (6, 39), (39, 53), (53, 82), (82, 93), (93, 70), (70, 0)], (2, 3): [(51, 22)], (2, 6): [(51, 14)], (2, 7): [(51, 52), (52, 48), (48, 36), (36, 91), (91, 37), (37, 40), (40, 54), (54, 0)], (2, 8): []}","{(0, 15): {'cpu': 29}, (1, 47): {'cpu': 20}, (2, 51): {'cpu': 13}, (3, 22): {'cpu': 5}, (4, 11): {'cpu': 46}, (5, 33): {'cpu': 23}, (6, 14): {'cpu': 37}, (7, 0): {'cpu': 38}, (8, 79): {'cpu': 20}}","{((0, 1), (15, 11)): {'bw': 48}, ((0, 1), (11, 63)): {'bw': 48}, ((0, 1), (63, 58)): {'bw': 48}, ((0, 1), (58, 47)): {'bw': 48}, ((0, 2), (15, 33)): {'bw': 44}, ((0, 2), (33, 2)): {'bw': 44}, ((0, 2), (2, 86)): {'bw': 44}, ((0, 2), (86, 5)): {'bw': 44}, ((0, 2), (5, 51)): {'bw': 44}, ((0, 4), (15, 11)): {'bw': 22}, ((0, 5), (15, 91)): {'bw': 38}, ((0, 5), (91, 26)): {'bw': 38}, ((0, 5), (26, 33)): {'bw': 38}, ((0, 7), (15, 33)): {'bw': 29}, ((0, 7), (33, 4)): {'bw': 29}, ((0, 7), (4, 29)): {'bw': 29}, ((0, 7), (29, 14)): {'bw': 29}, ((0, 7), (14, 0)): {'bw': 29}, ((1, 2), (47, 20)): {'bw': 49}, ((1, 2), (20, 38)): {'bw': 49}, ((1, 2), (38, 4)): {'bw': 49}, ((1, 2), (4, 16)): {'bw': 49}, ((1, 2), (16, 82)): {'bw': 49}, ((1, 2), (82, 51)): {'bw': 49}, ((1, 3), (47, 3)): {'bw': 10}, ((1, 3), (3, 22)): {'bw': 10}, ((1, 4), (47, 11)): {'bw': 25}, ((1, 5), (47, 27)): {'bw': 10}, ((1, 5), (27, 33)): {'bw': 10}, ((1, 6), (47, 88)): {'bw': 36}, ((1, 6), (88, 14)): {'bw': 36}, ((1, 7), (47, 69)): {'bw': 45}, ((1, 7), (69, 6)): {'bw': 45}, ((1, 7), (6, 39)): {'bw': 45}, ((1, 7), (39, 53)): {'bw': 45}, ((1, 7), (53, 82)): {'bw': 45}, ((1, 7), (82, 93)): {'bw': 45}, ((1, 7), (93, 70)): {'bw': 45}, ((1, 7), (70, 0)): {'bw': 45}, ((2, 3), (51, 22)): {'bw': 47}, ((2, 6), (51, 14)): {'bw': 43}, ((2, 7), (51, 52)): {'bw': 35}, ((2, 7), (52, 48)): {'bw': 35}, ((2, 7), (48, 36)): {'bw': 35}, ((2, 7), (36, 91)): {'bw': 35}, ((2, 7), (91, 37)): {'bw': 35}, ((2, 7), (37, 40)): {'bw': 35}, ((2, 7), (40, 54)): {'bw': 35}, ((2, 7), (54, 0)): {'bw': 35}}",0,0,462,231,673,0,0,0,0,0,0.0,0.0,0.0,0.0,Route Failure,0,0,0,0,True,False,False,0,[],9.0,15.0
